Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	
0.01	0.09439439	0.04297291	0.09438494	0.09508048	
0.02	0.00066780	0.00828608	0.00066985	0.00057623	
0.03	0.40712892	0.27907123	0.40713287	0.40659850	
0.04	0.01348253	0.00076974	0.01348908	0.01312155	
0.05	0.15076823	0.15317800	0.15065373	0.15313878	
0.06	0.45798305	0.33011594	0.45801785	0.45734094	
0.07	0.53493116	0.42071163	0.53509067	0.53234742	
0.08	0.32598425	0.42204213	0.32615069	0.32390744	
0.09	0.48597103	0.43958146	0.48630481	0.48146018	
0.1	0.33390508	0.39523485	0.33361434	0.33776945	
0.11	0.45277101	0.39852551	0.45240236	0.45702415	
0.12	0.40633591	0.36767459	0.40592989	0.41091673	
0.13	0.25107185	0.30569321	0.25076658	0.25482899	
0.14	0.25667783	0.28772619	0.25707338	0.25284865	
0.15	0.40717751	0.32128923	0.40702671	0.40849952	
0.16	0.16039955	0.22268071	0.16043989	0.16065363	
0.17	0.36272652	0.28560834	0.36260962	0.36368648	
0.18	0.15917678	0.19654766	0.15951173	0.15663476	
0.19	0.23272724	0.21746112	0.23221274	0.23773061	
0.2	0.29009763	0.23548092	0.29041524	0.28723279	
0.21	0.11657930	0.15134082	0.11686267	0.11482592	
0.22	0.15448327	0.16242057	0.15397433	0.15938824	
0.23	0.26482628	0.21100382	0.26464488	0.26632791	
0.24	0.20632536	0.17860869	0.20683707	0.20233317	
0.25	0.09197610	0.11626377	0.09231994	0.08997282	
0.26	0.08482181	0.10830856	0.08449058	0.08824820	
0.27	0.16393905	0.14755551	0.16336030	0.16880705	
0.28	0.21898281	0.17576012	0.21880532	0.22036937	
0.29	0.19624980	0.16147878	0.19664031	0.19342949	
0.3	0.12530689	0.11913526	0.12591900	0.12127035	
0.31	0.06434069	0.08144182	0.06470611	0.06251142	
0.32	0.04852030	0.06977525	0.04839940	0.05030251	
0.33	0.07619638	0.08444863	0.07567143	0.08063732	
0.34	0.12294559	0.11157285	0.12230253	0.12784334	
0.35	0.16187415	0.13478203	0.16141803	0.16515249	
0.36	0.17668405	0.14349984	0.17660211	0.17726405	
0.37	0.16477604	0.13543863	0.16508998	0.16276048	
0.38	0.13367213	0.11484556	0.13426553	0.13003323	
0.39	0.09518762	0.08905027	0.09587174	0.09125783	
0.4	0.06043645	0.06527843	0.06101924	0.05744202	
0.41	0.03693897	0.04865803	0.03727599	0.03570086	
0.42	0.02779774	0.04151815	0.02781714	0.02862236	
0.43	0.03229592	0.04364330	0.03200011	0.03501691	
0.44	0.04717467	0.05303301	0.04662585	0.05128418	
0.45	0.06801042	0.06678751	0.06730830	0.07282165	
0.46	0.09034960	0.08187691	0.08960803	0.09514816	
0.47	0.11046483	0.09568251	0.10979191	0.11462486	
