Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	P_VIS_1	P_VIS_2	
0.01	0.094394392	0.042973336	0.094388263	0.095080476	0.48632494	8.7571482e-05	
0.02	0.00066780246	0.0082861805	0.00066962922	0.00057623252	0.47999807	8.7208321e-05	
0.03	0.40712892	0.27907101	0.40713244	0.4065985	0.4814586	7.9520172e-05	
0.04	0.013482531	0.00076975503	0.013488914	0.013121545	0.4650686	8.5781968e-05	
0.05	0.15076823	0.15317821	0.15065583	0.15313878	0.41428668	7.4614999e-05	
0.06	0.45798305	0.33011602	0.45801756	0.45734094	0.38079738	6.227721e-05	
0.07	0.53493116	0.42071155	0.53508931	0.53234742	0.36423159	5.3854936e-05	
0.08	0.32598425	0.42204199	0.32614956	0.32390744	0.35666635	4.8883541e-05	
0.09	0.48597103	0.43958115	0.48630299	0.48146018	0.35286074	4.6123007e-05	
0.1	0.33390508	0.39523505	0.33361557	0.33776945	0.35016598	4.4635291e-05	
0.11	0.45277101	0.39852577	0.45240365	0.45702415	0.34741044	4.3833248e-05	
0.12	0.40633591	0.36767485	0.40593107	0.41091673	0.34414873	4.3383429e-05	
0.13	0.25107185	0.30569338	0.25076733	0.25482899	0.34028506	4.3091163e-05	
0.14	0.25667783	0.28772587	0.25707245	0.25284865	0.33585556	4.2860743e-05	
0.15	0.40717751	0.32128928	0.40702695	0.40849952	0.33096246	4.2626493e-05	
0.16	0.16039955	0.22268064	0.16043979	0.16065363	0.32571979	4.2370975e-05	
0.17	0.36272652	0.28560836	0.36260975	0.36368648	0.3202138	4.2081479e-05	
0.18	0.15917678	0.19654744	0.15951125	0.15663476	0.31454851	4.1766352e-05	
0.19	0.23272724	0.21746134	0.23221332	0.23773061	0.30878473	4.1406162e-05	
0.2	0.29009763	0.23548074	0.29041485	0.28723279	0.30300237	4.1028115e-05	
0.21	0.1165793	0.15134066	0.11686236	0.11482592	0.2972238	4.0611717e-05	
0.22	0.15448327	0.16242076	0.15397476	0.15938824	0.29148156	4.0170896e-05	
0.23	0.26482628	0.21100386	0.264645	0.26632791	0.28582357	3.9734928e-05	
0.24	0.20632536	0.17860847	0.20683665	0.20233317	0.28026618	3.9294484e-05	
0.25	0.091976103	0.11626362	0.092319679	0.089972816	0.27481185	3.883493e-05	
0.26	0.08482181	0.10830865	0.084490771	0.088248201	0.26947556	3.8364779e-05	
0.27	0.16393905	0.14755567	0.16336062	0.16880705	0.26427636	3.7898811e-05	
0.28	0.21898281	0.17576015	0.21880539	0.22036937	0.25922098	3.7438937e-05	
0.29	0.1962498	0.16147865	0.19664008	0.19342949	0.25430361	3.6977072e-05	
0.3	0.12530689	0.11913507	0.12591869	0.12127035	0.24951613	3.6507703e-05	
0.31	0.064340693	0.081441705	0.064705929	0.062511418	0.24485557	3.6034205e-05	
0.32	0.048520297	0.069775263	0.04839944	0.05030251	0.24032435	3.5566058e-05	
0.33	0.076196377	0.084448736	0.075671625	0.080637316	0.23592621	3.511257e-05	
