Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	P_VIS_1	P_VIS_2	P_DCH	
0.01	0.094394392	0.042973336	0.094388263	0.095080476	0.48632494	0.0049459084	0.097874346	
0.02	0.00066780246	0.0082861805	0.00066962922	0.00057623252	0.47999807	0.0051975273	0.0051016537	
0.03	0.40712892	0.27907101	0.40713244	0.4065985	0.4814586	0.0054615143	0.40566748	
0.04	0.013482531	0.00076975503	0.013488914	0.013121545	0.4650686	0.0056973214	0.017818561	
0.05	0.15076823	0.15317821	0.15065583	0.15313878	0.41428668	0.0058200076	0.15346668	
0.06	0.45798305	0.33011602	0.45801756	0.45734094	0.38079738	0.0058231012	0.4567225	
0.07	0.53493116	0.42071155	0.53508931	0.53234742	0.36423159	0.005739289	0.5324604	
0.08	0.32598425	0.42204199	0.32614956	0.32390744	0.35666635	0.0056020727	0.32606609	
0.09	0.48597103	0.43958115	0.48630299	0.48146018	0.35286074	0.0054354794	0.48377963	
0.1	0.33390508	0.39523505	0.33361557	0.33776945	0.35016598	0.0052558872	0.33356653	
0.11	0.45277101	0.39852577	0.45240365	0.45702415	0.34741044	0.0050721996	0.45073435	
0.12	0.40633591	0.36767485	0.40593107	0.41091673	0.34414873	0.0048907277	0.40487928	
0.13	0.25107185	0.30569338	0.25076733	0.25482899	0.34028506	0.0047148109	0.25173448	
0.14	0.25667783	0.28772587	0.25707245	0.25284865	0.33585556	0.0045457713	0.25724186	
0.15	0.40717751	0.32128928	0.40702695	0.40849952	0.33096246	0.004384692	0.4055915	
0.16	0.16039955	0.22268064	0.16043979	0.16065363	0.32571979	0.0042326181	0.16228587	
0.17	0.36272652	0.28560836	0.36260975	0.36368648	0.3202138	0.0040878411	0.36171297	
0.18	0.15917678	0.19654744	0.15951125	0.15663476	0.31454851	0.003952007	0.16105704	
0.19	0.23272724	0.21746134	0.23221332	0.23773061	0.30878473	0.003823116	0.23356211	
0.2	0.29009763	0.23548074	0.29041485	0.28723279	0.30300237	0.0037014618	0.2900588	
0.21	0.1165793	0.15134066	0.11686236	0.11482592	0.2972238	0.0035872721	0.11906756	
0.22	0.15448327	0.16242076	0.15397476	0.15938824	0.29148156	0.0034786691	0.1564429	
0.23	0.26482628	0.21100386	0.264645	0.26632791	0.28582357	0.0033757823	0.26513648	
0.24	0.20632536	0.17860847	0.20683665	0.20233317	0.28026618	0.0032790482	0.20746605	
0.25	0.091976103	0.11626362	0.092319679	0.089972816	0.27481185	0.0031875508	0.094826052	
0.26	0.08482181	0.10830865	0.084490771	0.088248201	0.26947556	0.0031003128	0.08780925	
0.27	0.16393905	0.14755567	0.16336062	0.16880705	0.26427636	0.0030172084	0.16574492	
0.28	0.21898281	0.17576015	0.21880539	0.22036937	0.25922098	0.0029384481	0.21993277	
